trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
136,False,"{'e': 0.1111360669506219, 'a': 0.2}",20,7,-19.173834676712875,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
137,False,"{'e': 0.10970064851551141, 'a': 0.2}",30,3,45.693351661026455,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'e': 0.10677835943508306, 'a': 0.2}",30,13,28.839559648254756,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.10497846973427834, 'a': 0.2}",20,16,7.97896793166768,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'e': 0.10455939456444763, 'a': 0.2}",20,15,12.653717345341803,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'e': 0.10403790240845692, 'a': 0.2}",30,14,29.250073673687687,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.102386542081408, 'a': 0.2}",30,0,-24.648142616688972,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
143,False,"{'e': 0.09936056245837875, 'a': 0.2}",20,4,18.34597169108869,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
144,False,"{'e': 0.09778344405135005, 'a': 0.2}",30,11,25.149589591483277,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'e': 0.09594309727220877, 'a': 0.2}",30,13,32.382027541190844,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.09432585016748485, 'a': 0.2}",30,14,27.754334606267644,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'e': 0.09282864613726323, 'a': 0.2}",20,8,21.244942732848234,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'e': 0.09172135939149971, 'a': 0.2}",30,18,9.565123788608126,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'e': 0.09062728067998384, 'a': 0.2}",25,10,23.590823547139674,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'e': 0.08927801625161007, 'a': 0.2}",20,2,28.463285584342096,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'e': 0.08768538860858248, 'a': 0.2}",20,13,14.389432534371458,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'e': 0.08707373417642188, 'a': 0.2}",25,0,19.602666166299905,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
153,False,"{'e': 0.08492387601958441, 'a': 0.2}",30,19,22.587732283271375,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'e': 0.08399483249061504, 'a': 0.2}",20,8,21.591915584723683,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'e': 0.08299291801055293, 'a': 0.2}",35,21,25.821905402703976,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'e': 0.08183911264141527, 'a': 0.2}",25,18,11.442842524428908,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'e': 0.08126823924089167, 'a': 0.2}",35,7,39.37085589259223,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'e': 0.07902429042826366, 'a': 0.2}",25,11,28.30438613610578,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'e': 0.077925658728426, 'a': 0.2}",25,14,10.920327529241534,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
160,False,"{'e': 0.07707317374569124, 'a': 0.2}",20,13,11.636765959321309,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'e': 0.07653554542391151, 'a': 0.2}",25,11,26.1322196367297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'e': 0.07547151339133784, 'a': 0.2}",35,16,34.17304988033318,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
